id,product,price,qty,image_path,category
5a0e7947fc13ae642f000000,Pork - Backs - Boneless,$7.39,62.75,http://dummyimage.com/131x217.bmp/dddddd/000000,Books
5a0e7947fc13ae642f000001,Spinach - Frozen,$9.00,21.62,http://dummyimage.com/125x109.png/dddddd/000000,Toys
5a0e7947fc13ae642f000002,Bread Crumbs - Japanese Style,$6.07,25.39,http://dummyimage.com/218x166.png/cc0000/ffffff,Garden
5a0e7947fc13ae642f000003,"Pepper - Paprika, Hungarian",$8.29,81.42,http://dummyimage.com/238x147.bmp/ff4444/ffffff,Computers
5a0e7947fc13ae642f000004,Cheese - Mozzarella,$8.10,24.83,http://dummyimage.com/108x137.bmp/dddddd/000000,Automotive
5a0e7947fc13ae642f000005,"Beef - Tongue, Fresh",$4.72,55.75,http://dummyimage.com/109x117.bmp/cc0000/ffffff,Outdoors
5a0e7947fc13ae642f000006,Milk - Skim,$4.34,90.53,http://dummyimage.com/177x147.bmp/cc0000/ffffff,Toys
5a0e7947fc13ae642f000007,Cheese - St. Paulin,$7.26,69.67,http://dummyimage.com/202x226.png/cc0000/ffffff,Beauty
5a0e7947fc13ae642f000008,Nut - Pumpkin Seeds,$6.27,32.66,http://dummyimage.com/241x137.bmp/ff4444/ffffff,Outdoors
5a0e7947fc13ae642f000009,"Champagne - Brights, Dry",$2.89,39.39,http://dummyimage.com/152x135.png/5fa2dd/ffffff,Shoes
5a0e7947fc13ae642f00000a,Chips Potato All Dressed - 43g,$5.18,39.03,http://dummyimage.com/250x121.png/dddddd/000000,Health
5a0e7947fc13ae642f00000b,Beef - Inside Round,$3.69,15.68,http://dummyimage.com/148x102.jpg/ff4444/ffffff,Games
5a0e7947fc13ae642f00000c,Sauce - Cranberry,$5.76,2.17,http://dummyimage.com/102x136.png/5fa2dd/ffffff,Games
5a0e7947fc13ae642f00000d,Sauerkraut,$7.65,72.46,http://dummyimage.com/230x200.jpg/dddddd/000000,Shoes
5a0e7947fc13ae642f00000e,Kumquat,$7.81,60.09,http://dummyimage.com/197x237.bmp/5fa2dd/ffffff,Sports
5a0e7947fc13ae642f00000f,Muffin Orange Individual,$1.77,29.16,http://dummyimage.com/249x196.bmp/cc0000/ffffff,Music
5a0e7947fc13ae642f000010,Soup - Base Broth Beef,$9.77,27.69,http://dummyimage.com/185x113.bmp/ff4444/ffffff,Baby
5a0e7947fc13ae642f000011,Papayas,$1.45,39.83,http://dummyimage.com/187x177.jpg/dddddd/000000,Shoes
5a0e7947fc13ae642f000012,Broccoli - Fresh,$9.84,17.64,http://dummyimage.com/233x233.bmp/5fa2dd/ffffff,Movies
5a0e7947fc13ae642f000013,Pie Shells 10,$4.40,99.69,http://dummyimage.com/129x183.png/ff4444/ffffff,Toys
5a0e7947fc13ae642f000014,Broom And Broom Rack White,$4.21,31.95,http://dummyimage.com/156x101.png/ff4444/ffffff,Industrial
5a0e7947fc13ae642f000015,Ecolab - Balanced Fusion,$9.97,87.38,http://dummyimage.com/164x188.bmp/5fa2dd/ffffff,Automotive
5a0e7947fc13ae642f000016,Trueblue - Blueberry,$5.67,46.91,http://dummyimage.com/242x115.png/ff4444/ffffff,Tools
5a0e7947fc13ae642f000017,External Supplier,$7.17,73.12,http://dummyimage.com/125x103.jpg/cc0000/ffffff,Games
5a0e7947fc13ae642f000018,Muffin Orange Individual,$6.89,29.78,http://dummyimage.com/241x209.png/5fa2dd/ffffff,Shoes
5a0e7947fc13ae642f000019,Rice - Aborio,$7.00,50.42,http://dummyimage.com/128x151.png/cc0000/ffffff,Books
5a0e7947fc13ae642f00001a,Wine - Placido Pinot Grigo,$9.66,8.78,http://dummyimage.com/109x167.png/cc0000/ffffff,Games
5a0e7947fc13ae642f00001b,Coffee - Dark Roast,$8.29,83.16,http://dummyimage.com/159x113.png/5fa2dd/ffffff,Books
5a0e7947fc13ae642f00001c,Appetizer - Crab And Brie,$9.59,22.23,http://dummyimage.com/144x126.png/5fa2dd/ffffff,Computers
5a0e7947fc13ae642f00001d,Pastry - Raisin Muffin - Mini,$1.64,75.81,http://dummyimage.com/124x131.bmp/5fa2dd/ffffff,Jewelery
5a0e7947fc13ae642f00001e,Sprouts - Alfalfa,$0.83,26.92,http://dummyimage.com/137x182.jpg/5fa2dd/ffffff,Books
5a0e7947fc13ae642f00001f,Onions - Red Pearl,$5.45,10.52,http://dummyimage.com/196x156.png/dddddd/000000,Music
5a0e7947fc13ae642f000020,Dry Ice,$6.71,78.6,http://dummyimage.com/198x221.jpg/dddddd/000000,Baby
5a0e7947fc13ae642f000021,Vinegar - Tarragon,$8.51,75.86,http://dummyimage.com/155x109.bmp/dddddd/000000,Computers
5a0e7947fc13ae642f000022,Veal - Heart,$3.00,9.53,http://dummyimage.com/140x138.jpg/cc0000/ffffff,Computers
5a0e7947fc13ae642f000023,Muffin - Mix - Creme Brule 15l,$9.67,56.0,http://dummyimage.com/159x244.bmp/dddddd/000000,Shoes
5a0e7947fc13ae642f000024,"Napkin - Cocktail,beige 2 - Ply",$1.76,30.12,http://dummyimage.com/172x236.png/5fa2dd/ffffff,Sports
5a0e7947fc13ae642f000025,Bread - Sour Sticks With Onion,$6.40,78.64,http://dummyimage.com/100x247.bmp/cc0000/ffffff,Music
5a0e7947fc13ae642f000026,Eggplant - Baby,$3.71,42.05,http://dummyimage.com/241x135.bmp/cc0000/ffffff,Automotive
5a0e7947fc13ae642f000027,Potatoes - Fingerling 4 Oz,$3.02,71.31,http://dummyimage.com/200x125.png/5fa2dd/ffffff,Industrial
5a0e7947fc13ae642f000028,Chick Peas - Dried,$4.83,14.8,http://dummyimage.com/177x143.jpg/dddddd/000000,Baby
5a0e7947fc13ae642f000029,"Wine - Red, Cooking",$9.10,4.31,http://dummyimage.com/208x152.jpg/ff4444/ffffff,Movies
5a0e7947fc13ae642f00002a,Soup - Campbells,$4.74,28.1,http://dummyimage.com/222x190.bmp/ff4444/ffffff,Tools
5a0e7947fc13ae642f00002b,Scallop - St. Jaques,$6.89,13.27,http://dummyimage.com/166x169.png/dddddd/000000,Home
5a0e7947fc13ae642f00002c,Oil - Coconut,$4.09,72.52,http://dummyimage.com/154x211.png/ff4444/ffffff,Toys
5a0e7947fc13ae642f00002d,Pork - Side Ribs,$4.64,26.86,http://dummyimage.com/183x133.png/dddddd/000000,Toys
5a0e7947fc13ae642f00002e,"Wine - White, Chardonnay",$4.75,75.82,http://dummyimage.com/201x117.jpg/ff4444/ffffff,Baby
5a0e7947fc13ae642f00002f,Scallop - St. Jaques,$2.80,32.12,http://dummyimage.com/190x173.png/5fa2dd/ffffff,Music
5a0e7947fc13ae642f000030,Coffee Cup 12oz 5342cd,$6.03,47.66,http://dummyimage.com/227x161.png/dddddd/000000,Baby
5a0e7947fc13ae642f000031,Crab - Meat Combo,$8.74,31.72,http://dummyimage.com/168x133.png/dddddd/000000,Kids
5a0e7947fc13ae642f000032,Onions - Cippolini,$0.48,14.92,http://dummyimage.com/168x237.jpg/5fa2dd/ffffff,Industrial
5a0e7947fc13ae642f000033,Oil - Cooking Spray,$0.37,1.81,http://dummyimage.com/168x103.png/5fa2dd/ffffff,Kids
5a0e7947fc13ae642f000034,"Stock - Beef, Brown",$4.98,88.32,http://dummyimage.com/158x132.png/dddddd/000000,Electronics
5a0e7947fc13ae642f000035,Tea - Black Currant,$1.36,8.37,http://dummyimage.com/214x190.bmp/5fa2dd/ffffff,Home
5a0e7947fc13ae642f000036,Ham - Black Forest,$2.99,46.82,http://dummyimage.com/219x191.jpg/ff4444/ffffff,Industrial
5a0e7947fc13ae642f000037,Sauce - Soy Low Sodium - 3.87l,$1.07,77.07,http://dummyimage.com/141x102.bmp/5fa2dd/ffffff,Tools
5a0e7947fc13ae642f000038,Barramundi,$4.66,75.18,http://dummyimage.com/220x247.bmp/5fa2dd/ffffff,Beauty
5a0e7947fc13ae642f000039,Smoked Tongue,$5.45,26.15,http://dummyimage.com/228x224.bmp/ff4444/ffffff,Health
